SKU,Producto,Categoria,Marca,Precio,Stock Actual,Caducidad,Estado
TE0IMMFOUW,Cono papel 20,Materiales De Endodoncia,Denstly,0.0,0,,Activo
GBCRDP2S21,Cono Papel 1era serie 0.6,Materiales De Endodoncia,3M,0.0,0,,Activo
4TCAFBP24U,Cono Papel 1ra serie,Materiales De Endodoncia,3M,0.0,0,,Activo
QSC6DI7MPL,Cono Papel 2da serie,Materiales De Endodoncia,3M,0.0,0,,Activo
FAIYVRMWC2,Cono Papel 15,Materiales De Endodoncia,Denstly,0.0,0,,Activo
IIBCSYFUQX,Cono Papel 25,Materiales De Endodoncia,Denstly,0.0,0,,Activo
RECXGCIPOJ,Cono Papel 25 .02,Materiales De Endodoncia,Denstly,0.0,0,,Activo
UHT76ZUEUC,Cono papel 30 .02,Materiales De Endodoncia,Denstly,0.0,0,,Activo
GSROLWTMCH,Cono Papel 35,Materiales De Endodoncia,Denstly,0.0,0,,Activo
OTRZ65EI7W,Cono papel 40,Materiales De Endodoncia,3M,0.0,0,,Activo
JON7RYU3CB,Cono Papel 45,Materiales De Endodoncia,3M,0.0,0,,Activo
RTQQ4FA3FE,Cono Papel 50,Materiales De Endodoncia,Denstly,0.0,0,,Activo
BQVJDVXIRY,Cono Papel 60,Materiales De Endodoncia,3M,0.0,0,,Activo
V1CBI3CJSD,Cono Papel 70,Materiales De Endodoncia,3M,0.0,0,,Activo
YFZQQSJVGD,Cono Papel 80,Materiales De Endodoncia,3M,0.0,0,,Activo
7PLPIIBVLS,Edta,Materiales De Endodoncia,3M,0.0,0,,Activo
X9SBLT5KFD,Endo Ice,Materiales De Endodoncia,3M,0.0,0,,Activo
MOQQ76035N,Endobact,Materiales De Endodoncia,3M,0.0,0,,Activo
ZKUXBZ3JRY,Espaciador Manual N°25,Materiales De Endodoncia,Denstly,0.0,0,,Activo
KRKG6RQZBC,Espaciador N°10,Materiales De Endodoncia,Denstly,0.0,0,,Activo
D4EK6WMXXK,Espaciador N°40,Materiales De Endodoncia,Denstly,0.0,0,,Activo
HIO44ACWJE,Fibra de Vidrio,Materiales De Endodoncia,3M,0.0,0,,Activo
JTGFAMKDRW,Fresa Peeso N5,Materiales De Endodoncia,Denstly,0.0,0,,Activo
GGZGVIGPEJ,Fresa Peeso N6,Materiales De Endodoncia,Denstly,0.0,0,,Activo
OYDHZPYI5F,Fresa Pesso N2,Materiales De Endodoncia,Denstly,0.0,0,,Activo
FWDUA0TWBC,Fresa Pesso N3,Materiales De Endodoncia,Denstly,0.0,0,,Activo
P3JDZUZEOU,Fresa Pesso N4,Materiales De Endodoncia,Denstly,0.0,0,,Activo
UGT5FBLXOO,Gancho Labial,Materiales De Endodoncia,Alfa Dental,0.0,0,,Activo
YOKR6KRDZH,Gates Gliden N5,Materiales De Endodoncia,Denstly,0.0,0,,Activo
DVFADZIUDQ,Gates Gliden N6,Materiales De Endodoncia,Denstly,0.0,0,,Activo
TVVVVT0GVD,Goma Dique,Materiales De Endodoncia,Blossom,0.0,0,,Activo
UQBNLSJJAC,Hipoclorito 5.0%,Materiales De Endodoncia,3M,0.0,0,,Activo
SIZOWPCU9D,Lentulo,Materiales De Endodoncia,3M,0.0,0,,Activo
KBUQZNQVUK,lentulo 25mm,Materiales De Endodoncia,3M,0.0,0,,Activo
